Log_ID,Times,VLan_ID,Department,Device_Type,Protocol,Bandwidth,Packet_Loss_Percent,Downtime_Minutes,Threat_Flag,Location
64,2026-10-26 06:17:59,VLan40,Sales,Server,FTP,624,2.82,9,NO,Tamale
65,2026-12-27 23:35:11,VLan40,Sales,Desktop,FTP,128,2.38,0,NO,Tamale
66,2026-05-20 18:24:47,VLan10,HR,Desktop,DNS,510,0.45,7,NO,Tamale
67,2026-04-04 05:22:55,VLan40,Sales,Router,HTTP,475,1.56,5,NO,TEMA
68,2026-03-12 09:07:11,VLan30,IT,Laptop,SSH,800,0.69,5,NO,TAKORADI
69,2026-07-16 15:11:16,VLan40,Sales,Router,SSH,445,1.9,0,NO,KUMASI
70,2026-07-23 08:14:36,VLan10,HR,Laptop,SMTP,525,2.18,0,NO,TEMA
71,2026-05-31 02:36:25,VLan40,Sales,Desktop,FTP,115,3.05,9,NO,KUMASI
72,2026-11-20 23:01:11,VLan20,Finance,Router,FTP,306,0.28,0,NO,ACCRA
73,2026-12-02 22:26:27,VLan40,Sales,Server,HTTP,629,2.56,3,NO,KUMASI
74,2026-10-15 09:49:32,VLan20,Finance,Laptop,SSH,289,2.04,15,NO,ACCRA
75,2026-12-01 01:34:59,VLan20,Finance,Server,HTTPS,211,3.02,5,NO,ACCRA
76,2026-04-30 17:48:51,VLan40,Sales,Desktop,HTTP,623,0.88,10,NO,TEMA
77,2026-02-11 02:17:36,VLan10,HR,Laptop,HTTP,131,0.22,1,NO,TAKORADI
78,2026-06-24 04:05:55,VLan40,Sales,Mobile,HTTP,211,4.04,13,NO,TEMA
79,2026-09-21 02:28:50,VLan40,Sales,Router,HTTPS,141,0.92,5,NO,KUMASI
80,2026-11-25 20:26:34,VLan20,Finance,Router,SSH,583,4.99,14,NO,TAKORADI
81,2026-01-19 05:23:46,VLan20,Finance,Laptop,SMTP,530,3.3,9,NO,ACCRA
82,2026-01-06 09:53:34,VLan30,IT,Mobile,FTP,853,4.84,12,NO,KUMASI
83,2026-06-04 03:21:51,VLan30,IT,Router,SMTP,886,3.45,2,NO,TEMA
84,2026-08-06 01:38:13,VLan30,IT,Mobile,DNS,721,0.6,4,NO,ACCRA
85,2026-11-08 21:56:13,VLan20,Finance,Laptop,HTTP,107,2.63,10,NO,TAKORADI
86,2026-04-10 17:24:42,VLan40,Sales,Mobile,SSH,534,3.09,3,NO,Tamale
87,2026-11-07 13:49:06,VLan30,IT,Desktop,DNS,690,4.94,0,NO,Tamale
88,2026-10-27 17:42:29,VLan30,IT,Server,SSH,589,2.04,15,NO,KUMASI
89,2026-08-16 15:49:02,VLan30,IT,Server,HTTP,504,2.58,11,NO,ACCRA
90,2026-12-08 17:17:45,VLan30,IT,Mobile,SMTP,1180,3.89,15,NO,KUMASI
91,2026-10-25 20:16:32,VLan20,Finance,Laptop,SSH,278,2.29,7,NO,TAKORADI
92,2026-04-13 15:50:32,VLan10,HR,Desktop,SSH,630,3,11,NO,KUMASI
93,2026-01-09 08:37:13,VLan40,Sales,Router,SSH,153,3.41,13,NO,Tamale
94,2026-03-15 17:11:53,VLan10,HR,Server,HTTPS,471,0.28,1,NO,KUMASI
95,2026-03-22 00:06:59,VLan10,HR,Server,SMTP,152,1.87,0,NO,TEMA
96,2026-06-24 00:44:43,VLan40,Sales,Server,FTP,595,1.37,7,NO,ACCRA
97,2026-05-20 16:20:56,VLan20,Finance,Laptop,HTTPS,240,1.1,1,NO,ACCRA
98,2026-06-10 00:23:31,VLan40,Sales,Mobile,HTTP,538,4.24,14,NO,KUMASI
99,2026-02-10 19:37:09,VLan20,Finance,Desktop,DNS,651,1.05,12,NO,TAKORADI
100,2026-03-19 14:19:49,VLan10,HR,Laptop,SSH,152,0.58,11,NO,KUMASI
101,2026-11-22 21:04:45,VLan30,IT,Desktop,SSH,1180,3.47,4,YES,ACCRA
102,2026-11-26 09:58:23,VLan20,Finance,Server,DNS,243,1.81,10,NO,KUMASI
103,2026-03-03 03:51:23,VLan30,IT,Desktop,DNS,754,2.88,2,NO,TAKORADI
104,2026-04-26 23:15:02,VLan20,Finance,Desktop,SMTP,388,4.75,3,NO,ACCRA
105,2026-02-10 06:23:45,VLan40,Sales,Mobile,FTP,496,1.25,15,NO,Tamale
106,2026-02-28 17:45:11,VLan20,Finance,Mobile,HTTPS,631,4.17,12,NO,ACCRA
107,2026-05-05 23:11:56,VLan40,Sales,Router,SSH,424,2.01,9,NO,TAKORADI
108,2026-02-07 12:07:47,VLan40,Sales,Router,FTP,305,4.14,11,NO,KUMASI
109,2026-03-31 16:41:59,VLan40,Sales,Router,DNS,674,4.31,15,NO,Tamale
110,2026-05-12 20:09:26,VLan30,IT,Mobile,DNS,1093,1.19,7,NO,Tamale
111,2026-07-15 09:22:43,VLan40,Sales,Mobile,HTTP,521,0.04,1,NO,TEMA
112,2026-04-15 22:22:57,VLan30,IT,Mobile,SMTP,808,0.36,5,NO,Tamale
113,2026-08-01 02:50:18,VLan10,HR,Desktop,SMTP,672,2.46,0,NO,KUMASI
114,2026-03-05 16:09:17,VLan30,IT,Mobile,SMTP,1096,1.42,8,NO,TEMA
115,2026-05-04 07:09:35,VLan20,Finance,Desktop,FTP,643,0.23,4,NO,TEMA
116,2026-06-09 04:12:20,VLan30,IT,Desktop,DNS,559,0.58,3,NO,TEMA
117,2026-08-06 03:45:09,VLan10,HR,Mobile,DNS,160,3.19,10,NO,TAKORADI
118,2026-01-25 01:00:10,VLan10,HR,Desktop,SSH,621,4.77,5,NO,TAKORADI
119,2026-04-09 00:15:36,VLan30,IT,Router,HTTPS,1103,2.96,7,NO,KUMASI
120,2026-03-24 20:01:06,VLan20,Finance,Desktop,SSH,474,3.78,13,NO,TAKORADI
121,2026-05-13 20:48:39,VLan40,Sales,Laptop,HTTPS,491,2.69,15,NO,TEMA
122,2026-07-20 22:51:38,VLan30,IT,Router,DNS,881,1.01,7,NO,ACCRA
123,2026-06-22 05:52:48,VLan20,Finance,Mobile,SMTP,117,3.64,9,NO,KUMASI
124,2026-08-02 20:32:49,VLan40,Sales,Router,SMTP,198,2.49,12,NO,TEMA
125,2026-08-18 18:05:28,VLan30,IT,Server,HTTPS,968,2.06,2,NO,TEMA
126,2026-12-21 10:13:18,VLan30,IT,Desktop,DNS,762,0.01,10,NO,TAKORADI
127,2026-03-26 14:25:16,VLan20,Finance,Laptop,DNS,457,1.24,6,NO,KUMASI
128,2026-10-02 07:44:58,VLan30,IT,Router,SMTP,893,1.18,9,NO,TAKORADI
129,2026-06-30 16:39:23,VLan10,HR,Server,DNS,129,4,3,NO,TEMA
130,2026-02-17 03:16:31,VLan20,Finance,Mobile,DNS,241,2.79,13,NO,TEMA
131,2026-05-11 16:23:58,VLan30,IT,Mobile,FTP,922,3.91,11,YES,Tamale
132,2026-08-06 11:09:12,VLan30,IT,Server,SSH,747,0.51,6,NO,TEMA
133,2026-03-11 14:37:27,VLan10,HR,Mobile,HTTPS,244,2.77,4,NO,ACCRA
134,2026-06-01 13:58:48,VLan10,HR,Router,FTP,155,3.61,7,NO,KUMASI
135,2026-11-16 20:39:32,VLan30,IT,Router,DNS,791,4.68,15,NO,KUMASI
136,2026-07-16 08:27:31,VLan20,Finance,Router,HTTPS,126,2.58,5,NO,TAKORADI
137,2026-11-24 13:21:11,VLan30,IT,Mobile,FTP,664,2.94,11,NO,Tamale
138,2026-03-02 16:14:55,VLan30,IT,Desktop,FTP,761,1.3,6,NO,Tamale
139,2026-10-23 16:22:17,VLan10,HR,Laptop,DNS,392,0.32,0,NO,KUMASI
140,2026-06-11 02:27:30,VLan40,Sales,Laptop,HTTPS,179,2.21,2,NO,ACCRA
141,2026-12-31 00:50:46,VLan20,Finance,Router,FTP,216,2.8,0,NO,Tamale
142,2026-03-14 01:32:39,VLan30,IT,Server,SMTP,770,4.56,6,NO,KUMASI
143,2026-10-22 16:08:52,VLan20,Finance,Server,SMTP,688,0.42,1,NO,ACCRA
144,2026-04-24 11:23:25,VLan10,HR,Server,DNS,564,0.83,13,NO,TEMA
145,2026-09-30 08:55:18,VLan40,Sales,Mobile,DNS,590,2.27,1,NO,TAKORADI
146,2026-10-11 03:41:09,VLan30,IT,Router,DNS,757,1.37,0,NO,TEMA
147,2026-09-27 19:26:04,VLan10,HR,Router,FTP,517,0.1,5,NO,KUMASI
148,2026-03-25 20:03:59,VLan30,IT,Mobile,DNS,910,1.65,8,NO,ACCRA
149,2026-05-12 14:33:48,VLan40,Sales,Mobile,SMTP,551,1.19,4,NO,Tamale
150,2026-01-29 23:05:33,VLan10,HR,Mobile,FTP,381,0.17,12,NO,TAKORADI
151,2026-08-25 04:22:11,VLan20,Finance,Desktop,HTTP,497,3.96,10,NO,KUMASI
152,2026-10-20 22:38:28,VLan40,Sales,Router,FTP,130,1.92,14,NO,ACCRA
153,2026-11-11 07:27:01,VLan20,Finance,Laptop,HTTP,468,3.57,12,NO,TEMA
154,2026-10-21 00:05:31,VLan40,Sales,Mobile,DNS,173,0.73,7,NO,ACCRA
155,2026-07-07 21:29:05,VLan10,HR,Router,HTTP,123,2.26,4,NO,Tamale
156,2026-07-11 19:01:46,VLan10,HR,Mobile,SMTP,404,0.53,11,NO,TAKORADI
157,2026-09-10 06:19:57,VLan20,Finance,Router,SSH,344,3.02,0,NO,Tamale
158,2026-04-20 01:48:56,VLan10,HR,Laptop,SSH,633,0.56,7,NO,TEMA
159,2026-02-16 12:23:45,VLan20,Finance,Mobile,HTTPS,546,2.1,4,NO,TEMA
160,2026-01-10 04:36:47,VLan40,Sales,Server,DNS,684,1.74,11,NO,TAKORADI
161,2026-07-02 04:46:21,VLan20,Finance,Router,SMTP,109,0.88,11,NO,TAKORADI
162,2026-09-02 23:55:24,VLan20,Finance,Server,HTTP,267,0.57,10,NO,ACCRA
163,2026-03-08 01:17:40,VLan20,Finance,Router,SMTP,116,3.13,5,NO,KUMASI
164,2026-07-03 09:11:04,VLan30,IT,Laptop,HTTP,1184,4.4,13,NO,Tamale
165,2026-10-29 22:19:54,VLan40,Sales,Laptop,HTTPS,207,1.82,9,NO,ACCRA
166,2026-06-07 03:47:41,VLan40,Sales,Desktop,HTTP,525,1.18,2,NO,KUMASI
167,2026-11-25 06:30:09,VLan30,IT,Server,DNS,1058,1.14,13,NO,TEMA
168,2026-12-09 10:52:45,VLan40,Sales,Desktop,SSH,159,3.39,8,NO,TAKORADI
169,2026-08-17 07:54:03,VLan20,Finance,Laptop,HTTP,481,2.27,10,NO,KUMASI
170,2026-07-19 14:21:54,VLan40,Sales,Mobile,HTTPS,101,2.62,11,NO,KUMASI
171,2026-05-20 19:16:58,VLan10,HR,Desktop,DNS,133,1.21,7,NO,ACCRA
172,2026-08-06 08:13:26,VLan20,Finance,Server,DNS,383,1.29,7,NO,Tamale
173,2026-11-23 23:46:56,VLan30,IT,Router,SSH,705,0.58,9,NO,ACCRA
174,2026-02-21 06:42:12,VLan20,Finance,Server,FTP,533,3.99,1,NO,TEMA
175,2026-09-17 14:50:34,VLan40,Sales,Router,SSH,666,1.09,2,NO,Tamale
176,2026-02-22 14:12:55,VLan30,IT,Router,SMTP,1166,0.21,2,NO,ACCRA
177,2026-02-02 00:20:47,VLan10,HR,Router,FTP,620,2.14,4,NO,TAKORADI
178,2026-07-17 05:24:29,VLan20,Finance,Mobile,SMTP,570,4.1,1,NO,TEMA
179,2026-11-14 11:32:26,VLan30,IT,Desktop,HTTPS,581,1.67,2,NO,TAKORADI
180,2026-03-21 00:39:07,VLan30,IT,Router,DNS,798,4.87,11,NO,TAKORADI
181,2026-06-26 05:56:52,VLan20,Finance,Desktop,SMTP,691,0.43,2,NO,TAKORADI
182,2026-12-11 05:49:44,VLan20,Finance,Router,SSH,606,3.84,15,NO,TAKORADI
183,2026-06-25 06:37:06,VLan10,HR,Mobile,SMTP,414,1.51,14,NO,TAKORADI
184,2026-06-26 08:14:44,VLan30,IT,Desktop,HTTPS,741,1.2,12,NO,TAKORADI
185,2026-06-20 12:15:32,VLan10,HR,Server,SSH,486,1.12,14,NO,TAKORADI
186,2026-12-04 03:03:59,VLan10,HR,Router,HTTPS,241,3.74,14,NO,Tamale
187,2026-12-09 02:20:47,VLan40,Sales,Router,DNS,238,2.44,4,NO,TAKORADI
188,2026-08-01 09:13:04,VLan40,Sales,Router,FTP,102,4.62,7,NO,TAKORADI
189,2026-02-17 07:08:26,VLan30,IT,Router,DNS,730,1.73,10,NO,TEMA
190,2026-11-29 19:50:10,VLan40,Sales,Laptop,HTTP,327,2.97,4,NO,Tamale
191,2026-11-30 02:02:12,VLan10,HR,Server,HTTPS,592,4.05,14,NO,TEMA
192,2026-10-21 12:33:38,VLan30,IT,Server,DNS,1029,3.48,15,NO,KUMASI
193,2026-07-29 17:28:24,VLan40,Sales,Server,SMTP,308,1.49,8,NO,TAKORADI
194,2026-01-10 21:56:37,VLan40,Sales,Server,HTTP,396,3.56,10,NO,ACCRA
195,2026-06-07 23:51:11,VLan10,HR,Laptop,SMTP,410,4.58,5,NO,KUMASI
196,2026-07-22 20:47:37,VLan40,Sales,Desktop,SSH,291,2.93,8,NO,KUMASI
197,2026-08-05 09:30:38,VLan20,Finance,Server,HTTPS,244,4.22,7,NO,Tamale
198,2026-03-09 14:22:35,VLan10,HR,Laptop,DNS,483,2.8,8,NO,Tamale
199,2026-02-18 17:58:09,VLan20,Finance,Mobile,SMTP,371,3.45,8,NO,KUMASI
200,2026-06-16 08:17:48,VLan10,HR,Mobile,SSH,587,0.94,3,NO,KUMASI
201,2026-12-27 10:46:01,VLan30,IT,Laptop,HTTP,978,4.36,12,NO,Tamale
202,2026-07-24 16:28:44,VLan10,HR,Desktop,SMTP,152,0.89,1,NO,TEMA
203,2026-06-02 15:34:43,VLan20,Finance,Server,HTTP,259,4.28,15,NO,TEMA
204,2026-07-26 14:10:27,VLan20,Finance,Router,SSH,194,3.8,10,NO,KUMASI
205,2026-10-31 02:01:04,VLan40,Sales,Router,HTTPS,667,0.56,2,NO,Tamale
206,2026-02-14 19:50:41,VLan20,Finance,Server,DNS,199,1.77,12,NO,Tamale
207,2026-01-03 14:26:59,VLan20,Finance,Desktop,HTTP,223,0.77,6,NO,KUMASI
208,2026-06-13 08:34:15,VLan10,HR,Router,FTP,261,4.61,1,NO,Tamale
209,2026-08-07 11:49:08,VLan10,HR,Router,HTTPS,447,0.09,5,NO,Tamale
210,2026-11-30 16:36:02,VLan40,Sales,Mobile,SSH,694,0,2,NO,Tamale
211,2026-11-01 11:00:21,VLan10,HR,Laptop,HTTPS,653,3.61,5,NO,ACCRA
212,2026-04-25 02:20:28,VLan40,Sales,Mobile,HTTP,362,4.48,6,NO,TEMA
213,2026-04-24 20:26:39,VLan30,IT,Server,SSH,820,2.98,4,NO,ACCRA
214,2026-01-12 19:28:39,VLan10,HR,Desktop,FTP,122,4.94,10,NO,TAKORADI
215,2026-11-23 14:37:26,VLan40,Sales,Desktop,FTP,118,1.84,0,NO,KUMASI
216,2026-09-23 15:32:32,VLan10,HR,Desktop,SSH,208,1.4,4,NO,TEMA
217,2026-03-19 17:39:03,VLan30,IT,Mobile,FTP,1151,3.38,7,YES,TEMA
218,2026-04-14 18:06:58,VLan30,IT,Router,SSH,588,4.03,4,NO,KUMASI
219,2026-02-13 14:41:52,VLan30,IT,Desktop,FTP,539,3.24,13,NO,TEMA
220,2026-05-08 01:29:49,VLan30,IT,Mobile,SSH,699,0.37,14,NO,TEMA
221,2026-08-15 13:04:50,VLan10,HR,Desktop,HTTPS,258,4.11,9,NO,ACCRA
222,2026-11-04 23:54:42,VLan20,Finance,Server,DNS,438,0.12,6,NO,ACCRA
223,2026-01-28 14:45:47,VLan20,Finance,Desktop,DNS,153,0.53,5,NO,TEMA
224,2026-06-25 09:56:18,VLan30,IT,Desktop,SMTP,740,0.09,8,NO,TAKORADI
225,2026-01-10 04:41:00,VLan10,HR,Laptop,SMTP,570,1.12,11,NO,TAKORADI
226,2026-05-02 00:50:52,VLan30,IT,Server,SSH,1075,4.56,8,YES,TEMA
227,2026-07-30 15:21:01,VLan40,Sales,Laptop,SSH,237,3.99,11,NO,TEMA
228,2026-06-11 16:38:15,VLan10,HR,Mobile,DNS,654,4.94,0,NO,TAKORADI
229,2026-12-11 00:20:38,VLan10,HR,Router,HTTPS,140,0.87,10,NO,TEMA
230,2026-11-18 09:41:46,VLan40,Sales,Server,SMTP,571,0.25,13,NO,Tamale
231,2026-11-17 00:37:09,VLan10,HR,Mobile,DNS,190,0.66,5,NO,KUMASI
232,2026-08-27 20:20:33,VLan10,HR,Desktop,HTTP,576,4.46,15,NO,TAKORADI
233,2026-10-06 12:42:24,VLan20,Finance,Laptop,FTP,450,4.52,7,NO,KUMASI
234,2026-11-15 00:03:18,VLan30,IT,Router,HTTP,1165,2.26,15,NO,Tamale
235,2026-03-15 06:58:57,VLan30,IT,Mobile,SSH,954,0.35,11,YES,KUMASI
236,2026-07-04 17:13:50,VLan30,IT,Laptop,FTP,1126,2.84,2,YES,KUMASI
237,2026-04-21 21:34:41,VLan20,Finance,Mobile,SSH,607,1.98,0,NO,Tamale
238,2026-12-04 06:51:26,VLan10,HR,Server,FTP,379,0.52,7,NO,KUMASI
239,2026-10-29 06:19:23,VLan40,Sales,Server,SMTP,358,0.71,10,NO,ACCRA
240,2026-03-04 12:45:16,VLan30,IT,Router,HTTPS,918,2.19,7,NO,TAKORADI
241,2026-05-20 13:35:03,VLan40,Sales,Mobile,HTTPS,166,1.26,11,NO,Tamale
242,2026-11-23 16:27:18,VLan30,IT,Server,SMTP,812,2.67,2,NO,ACCRA
243,2026-10-15 21:04:22,VLan20,Finance,Server,DNS,685,0.57,7,NO,TAKORADI
244,2026-08-02 12:56:31,VLan10,HR,Laptop,FTP,323,3.11,13,NO,Tamale
245,2026-01-28 09:11:55,VLan10,HR,Server,SMTP,634,3.7,3,NO,KUMASI
246,2026-08-30 22:52:01,VLan20,Finance,Server,FTP,633,4.64,0,NO,TEMA
247,2026-03-05 00:15:58,VLan10,HR,Server,FTP,345,3.38,14,NO,TEMA
248,2026-06-04 00:42:54,VLan30,IT,Mobile,SMTP,819,2.51,0,NO,Tamale
249,2026-11-09 22:41:42,VLan20,Finance,Laptop,HTTP,582,0.14,14,NO,TEMA
250,2026-04-19 17:21:11,VLan40,Sales,Mobile,DNS,452,4.66,14,NO,KUMASI
251,2026-10-11 16:29:48,VLan30,IT,Mobile,HTTPS,842,0.31,2,NO,KUMASI
252,2026-06-28 15:50:24,VLan20,Finance,Mobile,HTTPS,306,0.03,3,NO,KUMASI
253,2026-01-16 00:40:34,VLan20,Finance,Server,FTP,133,1.62,14,NO,Tamale
254,2026-02-22 17:04:11,VLan40,Sales,Mobile,FTP,485,0.02,8,NO,KUMASI
255,2026-02-18 03:47:00,VLan40,Sales,Laptop,SSH,289,1.06,2,NO,TAKORADI
256,2026-11-10 17:25:27,VLan40,Sales,Router,SMTP,630,4.48,15,NO,Tamale
257,2026-07-08 02:30:44,VLan20,Finance,Desktop,HTTPS,565,1.49,10,NO,ACCRA
258,2026-06-16 11:18:07,VLan10,HR,Router,FTP,373,2.68,6,NO,TAKORADI
259,2026-07-06 22:35:02,VLan20,Finance,Laptop,FTP,476,2.02,7,NO,Tamale
260,2026-02-12 19:05:47,VLan20,Finance,Mobile,DNS,607,2.72,2,NO,KUMASI
261,2026-10-24 05:45:00,VLan20,Finance,Server,SMTP,117,2.95,2,NO,ACCRA
262,2026-04-04 09:24:17,VLan30,IT,Router,SMTP,987,1.77,11,NO,TAKORADI
263,2026-06-28 12:23:50,VLan30,IT,Laptop,FTP,821,0.68,2,NO,KUMASI
264,2026-06-13 12:09:30,VLan20,Finance,Laptop,FTP,552,2.09,13,NO,Tamale
265,2026-11-23 03:35:56,VLan30,IT,Laptop,HTTP,1167,1,10,NO,Tamale
266,2026-08-14 11:59:58,VLan20,Finance,Laptop,HTTPS,596,3.28,5,NO,TAKORADI
267,2026-10-23 13:57:16,VLan30,IT,Laptop,HTTP,660,0.41,14,NO,TEMA
268,2026-11-24 08:12:11,VLan20,Finance,Laptop,FTP,595,4.09,5,NO,TAKORADI
269,2026-05-26 06:36:59,VLan30,IT,Desktop,DNS,1029,4.1,5,NO,TAKORADI
270,2026-07-15 20:18:15,VLan20,Finance,Server,HTTP,389,3.88,13,NO,ACCRA
271,2026-04-11 18:27:26,VLan40,Sales,Laptop,HTTPS,322,0.92,12,NO,Tamale
272,2026-07-05 13:29:26,VLan20,Finance,Mobile,HTTPS,266,1.15,1,NO,Tamale
273,2026-10-19 01:05:59,VLan30,IT,Laptop,HTTPS,1084,3.49,2,NO,Tamale
274,2026-07-31 12:23:03,VLan20,Finance,Server,SSH,439,2.96,7,NO,TEMA
275,2026-07-24 10:49:08,VLan40,Sales,Desktop,DNS,177,0.22,9,NO,TAKORADI
276,2026-03-13 01:11:11,VLan40,Sales,Server,SMTP,363,0.95,8,NO,ACCRA
277,2026-04-13 03:28:58,VLan40,Sales,Router,HTTP,700,4.27,8,NO,ACCRA
278,2026-03-15 17:09:22,VLan20,Finance,Mobile,SMTP,233,1.83,2,NO,Tamale
279,2026-03-27 00:47:24,VLan10,HR,Desktop,DNS,509,0.86,13,NO,TAKORADI
280,2026-06-27 06:02:16,VLan10,HR,Router,DNS,352,3.34,13,NO,TEMA
281,2026-08-24 04:30:33,VLan30,IT,Server,HTTP,637,0.06,5,NO,ACCRA
