,log_id,timestamp,vlan_id,department,device_type,protocol,bandwidth,packet_loss_percent,downtime_minutes,threat_flag,location
25,26,2026-04-19 18:33:00,VLan10,HR,Desktop,HTTPS,451,2.88,15,NO,Tamale
26,27,2026-03-28 07:04:00,VLan20,Finance,Mobile,FTP,132,4.26,3,NO,ACCRA
27,28,2026-04-14 04:21:00,VLan40,Sales,Mobile,DNS,417,3.0,10,NO,TEMA
28,29,2026-04-04 23:10:00,VLan20,Finance,Router,FTP,422,4.67,3,NO,TAKORADI
29,30,2026-03-27 21:06:00,VLan20,Finance,Laptop,SSH,625,0.44,0,NO,TEMA
30,31,2026-02-06 04:50:00,VLan10,HR,Laptop,SMTP,572,1.68,2,NO,KUMASI
31,32,2026-04-12 17:19:00,VLan40,Sales,Laptop,SMTP,306,4.91,5,NO,TAKORADI
32,33,2026-03-17 21:05:00,VLan40,Sales,Laptop,FTP,414,2.93,0,NO,TEMA
33,34,2026-01-19 05:39:00,VLan40,Sales,Desktop,DNS,454,1.22,4,NO,Tamale
34,35,2026-03-04 19:30:00,VLan30,IT,Desktop,SSH,1041,0.36,3,YES,Tamale
35,36,2026-01-13 09:25:00,VLan10,HR,Router,SSH,488,4.33,11,NO,TAKORADI
36,37,2026-04-10 16:48:00,VLan30,IT,Router,HTTP,979,0.57,5,NO,ACCRA
37,38,2026-01-12 09:45:00,VLan40,Sales,Desktop,HTTP,274,3.47,7,NO,Tamale
38,39,2026-01-11 16:58:00,VLan40,Sales,Router,DNS,662,4.81,3,NO,TAKORADI
39,40,2026-04-19 12:25:00,VLan30,IT,Router,FTP,1163,2.18,5,YES,KUMASI
40,41,2026-01-21 07:57:00,VLan30,IT,Desktop,SSH,608,3.52,2,NO,TAKORADI
41,42,2026-02-08 19:45:00,VLan10,HR,Server,FTP,343,0.09,4,NO,ACCRA
42,43,2026-03-16 18:32:00,VLan20,Finance,Server,HTTP,202,2.0,5,NO,TEMA
43,44,2026-02-23 01:39:00,VLan30,IT,Laptop,FTP,942,3.53,4,YES,KUMASI
44,45,2026-03-12 04:42:00,VLan30,IT,Desktop,SMTP,1006,1.24,8,NO,Tamale
45,46,2026-03-31 15:15:00,VLan20,Finance,Server,SMTP,203,3.81,5,NO,KUMASI
46,47,2026-01-22 23:59:00,VLan30,IT,Mobile,DNS,860,0.95,11,NO,TEMA
47,48,2026-02-18 20:48:00,VLan40,Sales,Desktop,DNS,405,2.69,2,NO,KUMASI
48,49,2026-04-25 19:04:00,VLan40,Sales,Desktop,HTTPS,348,4.7,1,NO,Tamale
49,50,2026-02-21 14:47:00,VLan10,HR,Laptop,HTTP,373,1.39,11,NO,TAKORADI
50,51,2026-03-16 03:00:00,VLan10,HR,Laptop,HTTP,529,4.12,6,NO,KUMASI
51,52,2026-03-31 23:51:00,VLan20,Finance,Mobile,FTP,383,3.76,6,NO,Tamale
52,53,2026-03-05 15:52:00,VLan10,HR,Desktop,DNS,566,4.12,7,NO,TEMA
53,54,2026-04-08 06:18:00,VLan40,Sales,Router,DNS,639,2.98,9,NO,TEMA
54,55,2026-02-27 20:47:00,VLan30,IT,Mobile,SMTP,1172,4.26,12,NO,TAKORADI
55,56,2026-04-01 22:17:00,VLan40,Sales,Server,DNS,266,3.09,3,NO,TAKORADI
56,57,2026-01-16 01:28:00,VLan20,Finance,Server,HTTP,201,2.34,14,NO,TAKORADI
57,58,2026-01-31 21:13:00,VLan20,Finance,Server,SMTP,158,2.39,2,NO,Tamale
58,59,2026-04-13 07:30:00,VLan20,Finance,Server,HTTP,214,0.48,3,NO,TAKORADI
59,60,2026-04-25 19:54:00,VLan40,Sales,Server,DNS,376,3.39,7,NO,ACCRA
60,61,2026-04-22 19:39:00,VLan20,Finance,Desktop,DNS,621,0.39,15,NO,KUMASI
61,62,2026-03-26 18:38:00,VLan40,Sales,Router,SMTP,130,4.92,4,NO,TAKORADI
62,63,2026-03-07 11:19:00,VLan40,Sales,Mobile,SMTP,339,3.26,2,NO,ACCRA
63,64,2026-03-12 06:35:00,VLan30,IT,Server,SMTP,969,0.55,13,NO,TAKORADI
64,65,2026-04-13 03:18:00,VLan30,IT,Laptop,HTTPS,749,4.92,10,NO,Tamale
65,66,2026-01-27 20:53:00,VLan20,Finance,Mobile,HTTPS,173,1.09,11,NO,Tamale
66,67,2026-04-25 19:50:00,VLan10,HR,Mobile,FTP,597,4.8,10,NO,Tamale
67,68,2026-03-27 15:17:00,VLan30,IT,Server,SSH,767,3.21,7,NO,Tamale
68,69,2026-01-21 08:33:00,VLan30,IT,Desktop,SMTP,660,4.94,8,NO,Tamale
69,70,2026-03-13 14:34:00,VLan40,Sales,Mobile,HTTPS,696,3.31,3,NO,Tamale
70,71,2026-04-25 12:28:00,VLan10,HR,Router,SSH,614,1.53,9,NO,TEMA
71,72,2026-03-23 17:14:00,VLan20,Finance,Mobile,HTTPS,415,2.39,1,NO,KUMASI
72,73,2026-04-12 06:34:00,VLan30,IT,Laptop,SMTP,825,2.25,0,NO,Tamale
73,74,2026-03-07 07:17:00,VLan20,Finance,Desktop,HTTP,338,1.65,3,NO,Tamale
74,75,2026-01-29 23:00:00,VLan30,IT,Server,HTTPS,1103,0.88,15,NO,TAKORADI
75,76,2026-01-02 23:28:00,VLan10,HR,Laptop,SSH,233,2.48,4,NO,TEMA
76,77,2026-02-23 04:56:00,VLan10,HR,Server,HTTPS,199,4.83,9,NO,ACCRA
77,78,2026-03-06 00:42:00,VLan20,Finance,Mobile,SMTP,296,3.61,2,NO,TEMA
78,79,2026-03-31 21:38:00,VLan10,HR,Server,HTTP,583,4.65,3,NO,TEMA
79,80,2026-01-09 00:57:00,VLan30,IT,Router,SSH,591,4.33,13,NO,TAKORADI
80,81,2026-04-08 13:23:00,VLan20,Finance,Laptop,DNS,472,3.89,14,NO,TAKORADI
81,82,2026-01-26 16:26:00,VLan30,IT,Desktop,DNS,989,0.58,1,NO,Tamale
82,83,2026-04-04 08:23:00,VLan10,HR,Mobile,HTTP,474,0.03,10,NO,TAKORADI
83,84,2026-02-09 13:54:00,VLan40,Sales,Router,HTTP,474,2.72,4,NO,KUMASI
84,85,2026-02-23 12:22:00,VLan30,IT,Desktop,SSH,784,1.35,0,NO,KUMASI
85,86,2026-04-19 11:07:00,VLan20,Finance,Server,SSH,638,2.4,14,NO,TEMA
86,87,2026-03-15 23:29:00,VLan10,HR,Laptop,FTP,477,2.99,0,NO,TEMA
87,88,2026-02-21 22:57:00,VLan10,HR,Laptop,SMTP,223,3.64,7,NO,ACCRA
88,89,2026-04-12 22:29:00,VLan10,HR,Mobile,SMTP,675,2.87,13,NO,KUMASI
89,90,2026-03-10 05:05:00,VLan30,IT,Mobile,FTP,834,4.49,12,NO,ACCRA
90,91,2026-04-14 08:37:00,VLan20,Finance,Laptop,HTTP,308,0.03,6,NO,TEMA
91,92,2026-02-10 13:56:00,VLan20,Finance,Mobile,FTP,342,2.32,12,NO,TAKORADI
92,93,2026-03-17 19:06:00,VLan20,Finance,Laptop,HTTP,341,0.9,1,NO,Tamale
93,94,2026-02-20 15:16:00,VLan20,Finance,Desktop,DNS,599,4.23,4,NO,KUMASI
94,95,2026-02-20 00:07:00,VLan20,Finance,Server,FTP,394,2.5,7,NO,KUMASI
95,96,2026-01-28 18:17:00,VLan20,Finance,Server,HTTPS,172,4.99,10,NO,KUMASI
96,97,2026-03-04 20:31:00,VLan40,Sales,Mobile,SSH,105,0.59,15,NO,Tamale
97,98,2026-02-09 08:56:00,VLan10,HR,Laptop,SSH,576,2.3,12,NO,TAKORADI
98,99,2026-01-19 14:18:00,VLan20,Finance,Router,SMTP,690,0.88,3,NO,ACCRA
99,100,2026-02-28 10:18:00,VLan40,Sales,Router,HTTP,471,2.61,12,NO,Tamale
100,101,2026-01-04 19:55:00,VLan20,Finance,Laptop,HTTP,666,1.33,5,NO,Tamale
101,102,2026-01-05 09:04:00,VLan10,HR,Router,FTP,217,3.57,12,NO,TEMA
102,103,2026-02-07 14:01:00,VLan30,IT,Router,DNS,543,2.0,10,NO,TEMA
103,104,2026-02-09 16:02:00,VLan40,Sales,Mobile,HTTP,577,1.65,4,NO,TEMA
104,105,2026-03-06 06:55:00,VLan30,IT,Router,SMTP,567,2.4,7,NO,TAKORADI
105,106,2026-02-11 16:01:00,VLan20,Finance,Router,FTP,180,3.69,6,NO,Tamale
106,107,2026-01-04 15:20:00,VLan40,Sales,Mobile,SMTP,699,2.54,6,NO,ACCRA
107,108,2026-01-11 19:40:00,VLan20,Finance,Desktop,SMTP,334,4.13,9,NO,TAKORADI
108,109,2026-02-22 21:51:00,VLan30,IT,Desktop,HTTP,564,2.98,13,NO,TEMA
109,110,2026-01-15 14:10:00,VLan10,HR,Desktop,SMTP,511,2.43,12,NO,KUMASI
110,111,2026-03-07 05:19:00,VLan40,Sales,Server,DNS,239,4.41,14,NO,ACCRA
111,112,2026-03-01 06:08:00,VLan10,HR,Mobile,SSH,269,4.93,1,NO,Tamale
112,113,2026-03-19 08:53:00,VLan10,HR,Desktop,HTTPS,627,0.81,7,NO,ACCRA
113,114,2026-01-05 03:39:00,VLan20,Finance,Server,DNS,689,4.61,13,NO,KUMASI
114,115,2026-01-19 16:12:00,VLan30,IT,Router,HTTP,630,1.02,8,NO,KUMASI
115,116,2026-01-07 14:21:00,VLan20,Finance,Server,SSH,630,3.5,2,NO,TAKORADI
116,117,2026-04-12 12:16:00,VLan20,Finance,Server,SSH,408,2.11,2,NO,KUMASI
117,118,2026-03-09 04:44:00,VLan40,Sales,Router,DNS,617,0.87,14,NO,ACCRA
118,119,2026-02-05 17:47:00,VLan40,Sales,Laptop,SMTP,533,3.68,14,NO,Tamale
119,120,2026-02-20 04:38:00,VLan40,Sales,Server,DNS,555,1.12,9,NO,KUMASI
120,121,2026-03-11 12:02:00,VLan10,HR,Mobile,SSH,134,2.89,12,NO,ACCRA
121,122,2026-02-27 09:00:00,VLan30,IT,Server,HTTPS,600,0.39,5,NO,Tamale
122,123,2026-03-20 06:09:00,VLan30,IT,Router,SMTP,533,2.81,6,NO,Tamale
123,124,2026-04-24 17:31:00,VLan30,IT,Server,FTP,663,1.4,4,NO,ACCRA
124,125,2026-01-04 03:41:00,VLan40,Sales,Desktop,SSH,310,4.3,6,NO,TAKORADI
125,126,2026-04-16 22:24:00,VLan10,HR,Router,HTTP,157,3.15,5,NO,Tamale
126,127,2026-03-06 09:46:00,VLan30,IT,Mobile,HTTPS,531,4.13,3,NO,TAKORADI
127,128,2026-01-14 09:04:00,VLan20,Finance,Desktop,DNS,100,1.89,15,NO,TEMA
128,129,2026-02-18 15:16:00,VLan10,HR,Laptop,HTTPS,555,3.37,13,NO,TAKORADI
129,130,2026-01-20 03:05:00,VLan40,Sales,Router,DNS,460,0.44,5,NO,ACCRA
130,131,2026-02-25 03:57:00,VLan20,Finance,Mobile,FTP,579,2.45,2,NO,KUMASI
131,132,2026-04-29 03:03:00,VLan20,Finance,Server,FTP,399,4.5,11,NO,Tamale
132,133,2026-01-17 07:19:00,VLan20,Finance,Server,FTP,121,4.22,6,NO,TAKORADI
133,134,2026-04-11 21:37:00,VLan30,IT,Router,HTTPS,1173,0.06,15,NO,Tamale
134,135,2026-01-05 18:16:00,VLan40,Sales,Laptop,DNS,542,3.11,0,NO,TAKORADI
135,136,2026-04-19 22:50:00,VLan20,Finance,Desktop,SSH,672,2.66,1,NO,Tamale
136,137,2026-01-19 14:02:00,VLan40,Sales,Desktop,SMTP,388,3.72,12,NO,TAKORADI
137,138,2026-03-23 13:56:00,VLan20,Finance,Desktop,DNS,651,3.59,3,NO,KUMASI
138,139,2026-01-01 22:38:00,VLan40,Sales,Mobile,SMTP,207,0.86,14,NO,TAKORADI
139,140,2026-03-07 08:51:00,VLan40,Sales,Desktop,HTTPS,376,3.38,14,NO,ACCRA
140,141,2026-03-04 08:06:00,VLan10,HR,Server,DNS,105,0.63,10,NO,TAKORADI
141,142,2026-04-30 14:22:00,VLan40,Sales,Server,SSH,261,1.98,5,NO,Tamale
142,143,2026-01-11 03:47:00,VLan30,IT,Laptop,HTTP,538,4.88,2,NO,TEMA
143,144,2026-02-02 17:21:00,VLan30,IT,Router,HTTPS,934,2.36,0,NO,TEMA
144,145,2026-01-17 08:53:00,VLan40,Sales,Router,HTTPS,330,0.1,8,NO,TAKORADI
145,146,2026-02-25 21:48:00,VLan40,Sales,Server,SMTP,684,4.59,9,NO,TAKORADI
146,147,2026-01-03 10:23:00,VLan40,Sales,Mobile,HTTPS,346,3.2,2,NO,KUMASI
147,148,2026-03-09 13:18:00,VLan40,Sales,Router,SSH,418,4.82,2,NO,Tamale
148,149,2026-04-15 08:24:00,VLan20,Finance,Laptop,DNS,207,4.21,9,NO,ACCRA
149,150,2026-03-19 16:07:00,VLan40,Sales,Laptop,HTTP,433,4.73,8,NO,TAKORADI
150,151,2026-03-02 15:36:00,VLan20,Finance,Router,SMTP,395,1.46,1,NO,TEMA
151,152,2026-04-14 06:16:00,VLan20,Finance,Server,FTP,643,3.63,10,NO,Tamale
152,153,2026-04-19 00:52:00,VLan40,Sales,Desktop,HTTP,399,0.08,15,NO,ACCRA
153,154,2026-01-31 19:00:00,VLan20,Finance,Desktop,FTP,501,1.11,8,NO,ACCRA
154,155,2026-04-13 23:50:00,VLan40,Sales,Laptop,SSH,193,2.01,8,NO,TAKORADI
155,156,2026-01-19 12:16:00,VLan20,Finance,Laptop,HTTP,411,2.96,4,NO,ACCRA
156,157,2026-03-07 02:45:00,VLan20,Finance,Server,DNS,495,2.94,7,NO,TAKORADI
157,158,2026-02-20 11:39:00,VLan30,IT,Server,HTTP,644,1.36,11,NO,Tamale
158,159,2026-02-06 22:41:00,VLan30,IT,Mobile,SMTP,776,3.91,15,NO,TEMA
159,160,2026-01-19 17:11:00,VLan30,IT,Laptop,SSH,1135,4.14,14,YES,KUMASI
160,161,2026-03-10 02:50:00,VLan20,Finance,Laptop,SMTP,603,3.14,0,NO,ACCRA
161,162,2026-04-17 23:52:00,VLan30,IT,Laptop,HTTPS,749,3.38,0,NO,TEMA
162,163,2026-02-21 08:31:00,VLan10,HR,Mobile,SMTP,524,4.88,2,NO,TAKORADI
163,164,2026-02-07 13:25:00,VLan30,IT,Mobile,SSH,513,0.19,8,NO,ACCRA
164,165,2026-02-20 18:27:00,VLan20,Finance,Router,FTP,131,0.93,2,NO,KUMASI
165,166,2026-01-09 04:35:00,VLan10,HR,Server,DNS,645,0.07,6,NO,Tamale
166,167,2026-02-05 08:25:00,VLan10,HR,Server,HTTPS,414,2.03,9,NO,TAKORADI
167,168,2026-02-26 14:47:00,VLan20,Finance,Desktop,HTTP,625,0.13,11,NO,KUMASI
168,169,2026-04-16 04:02:00,VLan40,Sales,Server,DNS,435,1.72,10,NO,Tamale
169,170,2026-03-01 12:10:00,VLan10,HR,Laptop,DNS,550,2.97,10,NO,KUMASI
170,171,2026-04-25 07:16:00,VLan30,IT,Mobile,HTTPS,900,3.29,5,NO,TAKORADI
171,172,2026-01-23 01:24:00,VLan10,HR,Desktop,HTTP,300,3.14,13,NO,Tamale
172,173,2026-02-03 04:07:00,VLan20,Finance,Desktop,HTTPS,177,4.43,9,NO,KUMASI
173,174,2026-03-30 12:12:00,VLan10,HR,Laptop,SMTP,648,4.72,1,NO,TEMA
174,175,2026-03-19 08:08:00,VLan40,Sales,Server,HTTPS,220,3.8,8,NO,ACCRA
175,176,2026-02-20 23:34:00,VLan40,Sales,Laptop,HTTP,225,3.08,15,NO,Tamale
176,177,2026-04-07 18:48:00,VLan30,IT,Laptop,DNS,717,1.11,10,NO,TAKORADI
177,178,2026-01-22 15:56:00,VLan40,Sales,Laptop,FTP,675,1.33,11,NO,KUMASI
178,179,2026-02-25 04:47:00,VLan30,IT,Server,FTP,708,3.79,11,NO,Tamale
179,180,2026-01-18 18:13:00,VLan40,Sales,Server,DNS,114,0.42,14,NO,ACCRA
180,181,2026-02-11 10:04:00,VLan20,Finance,Router,SSH,371,0.98,1,NO,TAKORADI
181,182,2026-03-14 06:16:00,VLan40,Sales,Server,HTTPS,326,2.76,7,NO,ACCRA
182,183,2026-04-06 02:46:00,VLan10,HR,Mobile,DNS,229,4.79,3,NO,Tamale
183,184,2026-04-04 20:31:00,VLan10,HR,Desktop,SMTP,114,2.04,1,NO,Tamale
184,185,2026-01-26 20:25:00,VLan30,IT,Server,FTP,785,2.18,15,NO,ACCRA
185,186,2026-01-27 19:02:00,VLan40,Sales,Desktop,SSH,148,2.89,8,NO,KUMASI
186,187,2026-04-04 13:45:00,VLan30,IT,Desktop,SSH,527,0.58,15,NO,TEMA
187,188,2026-03-02 07:19:00,VLan20,Finance,Router,SSH,663,4.8,2,NO,TEMA
188,189,2026-04-04 04:05:00,VLan20,Finance,Server,SMTP,291,0.69,15,NO,KUMASI
189,190,2026-01-31 18:53:00,VLan40,Sales,Laptop,DNS,566,0.56,11,NO,ACCRA
190,191,2026-02-12 20:03:00,VLan10,HR,Laptop,SSH,426,2.9,13,NO,KUMASI
191,192,2026-04-21 01:48:00,VLan40,Sales,Laptop,HTTPS,117,1.35,9,NO,Tamale
192,193,2026-02-17 18:23:00,VLan20,Finance,Desktop,SMTP,654,1.0,5,NO,TEMA
193,194,2026-02-12 13:26:00,VLan20,Finance,Server,SSH,625,2.65,0,NO,KUMASI
194,195,2026-01-10 08:27:00,VLan20,Finance,Server,SMTP,342,2.93,11,NO,TEMA
195,196,2026-02-07 20:44:00,VLan40,Sales,Laptop,FTP,173,1.63,4,NO,TEMA
196,197,2026-02-05 09:18:00,VLan40,Sales,Mobile,HTTP,549,2.52,5,NO,TAKORADI
197,198,2026-01-22 01:26:00,VLan20,Finance,Laptop,HTTPS,415,2.63,9,NO,TEMA
198,199,2026-03-19 06:05:00,VLan10,HR,Server,SSH,130,2.72,7,NO,Tamale
199,200,2026-04-13 08:49:00,VLan20,Finance,Router,HTTP,263,4.69,5,NO,KUMASI
200,201,2026-02-10 04:49:00,VLan40,Sales,Laptop,DNS,477,3.44,9,NO,TEMA
201,202,2026-04-14 06:02:00,VLan10,HR,Server,DNS,474,4.42,12,NO,ACCRA
202,203,2026-02-14 12:05:00,VLan10,HR,Router,SSH,694,4.28,1,NO,TEMA
203,204,2026-04-12 18:36:00,VLan20,Finance,Desktop,HTTP,683,2.79,3,NO,Tamale
204,205,2026-01-24 17:18:00,VLan30,IT,Server,SSH,610,2.13,7,NO,ACCRA
205,206,2026-04-24 00:13:00,VLan40,Sales,Laptop,HTTPS,203,1.59,6,NO,KUMASI
206,207,2026-04-24 01:17:00,VLan10,HR,Router,HTTP,596,1.19,7,NO,TEMA
207,208,2026-02-07 02:26:00,VLan10,HR,Server,SSH,483,1.65,9,NO,TEMA
208,209,2026-02-07 21:26:00,VLan30,IT,Mobile,FTP,562,2.81,15,NO,Tamale
209,210,2026-01-22 08:12:00,VLan40,Sales,Desktop,FTP,487,3.17,11,NO,TAKORADI
210,211,2026-03-06 20:01:00,VLan10,HR,Desktop,DNS,167,4.19,3,NO,TAKORADI
211,212,2026-02-07 16:54:00,VLan30,IT,Server,DNS,546,4.26,11,NO,TEMA
212,213,2026-01-16 17:24:00,VLan10,HR,Server,SSH,304,0.48,12,NO,Tamale
213,214,2026-03-07 13:11:00,VLan40,Sales,Laptop,FTP,169,1.36,15,NO,KUMASI
214,215,2026-01-21 07:55:00,VLan20,Finance,Mobile,SSH,677,1.56,8,NO,TEMA
215,216,2026-04-26 12:09:00,VLan40,Sales,Mobile,DNS,670,2.18,9,NO,Tamale
216,217,2026-01-02 14:55:00,VLan20,Finance,Router,HTTPS,316,0.02,1,NO,ACCRA
217,218,2026-03-06 04:26:00,VLan20,Finance,Desktop,HTTPS,431,0.53,6,NO,Tamale
218,219,2026-02-08 02:08:00,VLan30,IT,Laptop,HTTPS,702,4.79,2,NO,ACCRA
219,220,2026-02-18 23:41:00,VLan30,IT,Server,SMTP,687,3.15,13,NO,TAKORADI
220,221,2026-01-31 22:01:00,VLan20,Finance,Laptop,HTTP,267,0.34,6,NO,Tamale
221,222,2026-02-18 00:57:00,VLan20,Finance,Mobile,SSH,693,0.02,4,NO,ACCRA
222,223,2026-02-12 03:10:00,VLan40,Sales,Mobile,SMTP,460,1.68,2,NO,TAKORADI
223,224,2026-01-15 11:12:00,VLan30,IT,Laptop,SMTP,755,4.58,10,NO,KUMASI
224,225,2026-04-06 06:15:00,VLan40,Sales,Desktop,HTTPS,656,4.17,11,NO,ACCRA
225,226,2026-03-11 18:32:00,VLan10,HR,Server,SMTP,427,3.38,0,NO,Tamale
226,227,2026-04-23 04:33:00,VLan40,Sales,Server,HTTP,432,1.57,11,NO,TEMA
227,228,2026-03-09 23:17:00,VLan40,Sales,Server,DNS,580,1.89,4,NO,ACCRA
228,229,2026-04-17 18:46:00,VLan40,Sales,Server,DNS,255,1.9,2,NO,TAKORADI
229,230,2026-04-28 14:59:00,VLan40,Sales,Mobile,HTTPS,269,2.92,2,NO,TAKORADI
230,231,2026-02-13 08:13:00,VLan10,HR,Desktop,FTP,192,3.9,6,NO,Tamale
231,232,2026-02-10 22:11:00,VLan40,Sales,Mobile,HTTP,138,3.97,10,NO,TEMA
232,233,2026-01-30 21:31:00,VLan20,Finance,Desktop,HTTP,173,3.45,15,NO,Tamale
233,234,2026-04-14 14:06:00,VLan10,HR,Desktop,FTP,615,2.84,5,NO,KUMASI
234,235,2026-03-20 15:49:00,VLan20,Finance,Laptop,DNS,660,1.93,10,NO,Tamale
235,236,2026-03-02 11:45:00,VLan40,Sales,Router,HTTPS,114,2.72,8,NO,TEMA
236,237,2026-03-12 10:05:00,VLan40,Sales,Router,DNS,564,0.68,10,NO,TEMA
237,238,2026-04-27 11:45:00,VLan40,Sales,Router,SSH,436,2.09,15,NO,TAKORADI
238,239,2026-03-14 16:28:00,VLan30,IT,Mobile,SMTP,1068,0.97,2,NO,TAKORADI
239,240,2026-01-24 07:41:00,VLan30,IT,Server,SMTP,1181,1.84,5,NO,ACCRA
240,241,2026-02-25 14:50:00,VLan40,Sales,Mobile,HTTPS,109,1.81,13,NO,ACCRA
241,242,2026-04-08 19:52:00,VLan20,Finance,Mobile,FTP,427,1.49,3,NO,TAKORADI
242,243,2026-02-04 18:12:00,VLan30,IT,Server,HTTP,686,2.94,11,NO,ACCRA
243,244,2026-04-23 21:24:00,VLan30,IT,Mobile,SSH,516,3.47,0,NO,KUMASI
244,245,2026-04-11 07:30:00,VLan30,IT,Desktop,DNS,721,1.03,12,NO,ACCRA
245,246,2026-04-21 01:55:00,VLan20,Finance,Laptop,HTTPS,237,1.81,5,NO,TEMA
246,247,2026-04-18 17:41:00,VLan30,IT,Desktop,HTTPS,720,2.03,6,NO,TEMA
247,248,2026-04-24 23:36:00,VLan40,Sales,Router,HTTPS,519,0.67,15,NO,Tamale
248,249,2026-04-07 22:40:00,VLan40,Sales,Desktop,HTTP,590,2.99,15,NO,TAKORADI
249,250,2026-02-18 07:16:00,VLan10,HR,Server,SSH,544,2.26,7,NO,Tamale
250,251,2026-01-11 08:54:00,VLan40,Sales,Router,SSH,258,4.72,4,NO,TEMA
251,252,2026-04-02 16:25:00,VLan10,HR,Router,HTTPS,308,0.07,2,NO,Tamale
252,253,2026-01-31 21:34:00,VLan20,Finance,Mobile,FTP,140,3.23,2,NO,KUMASI
253,254,2026-01-05 22:28:00,VLan10,HR,Desktop,HTTP,561,4.82,7,NO,TEMA
254,255,2026-01-17 18:50:00,VLan40,Sales,Desktop,SMTP,642,0.7,8,NO,ACCRA
255,256,2026-01-01 22:55:00,VLan30,IT,Laptop,SSH,741,3.03,6,NO,ACCRA
256,257,2026-04-18 23:58:00,VLan40,Sales,Server,HTTPS,199,4.48,0,NO,Tamale
257,258,2026-03-21 18:24:00,VLan40,Sales,Server,HTTPS,186,4.98,1,NO,TAKORADI
258,259,2026-01-07 19:32:00,VLan10,HR,Router,SSH,601,1.8,13,NO,ACCRA
259,260,2026-03-14 18:41:00,VLan40,Sales,Router,HTTPS,276,2.12,10,NO,KUMASI
260,261,2026-01-19 07:17:00,VLan20,Finance,Server,HTTPS,138,4.16,15,NO,ACCRA
261,262,2026-03-19 13:29:00,VLan20,Finance,Desktop,SSH,575,1.24,13,NO,Tamale
262,263,2026-01-07 12:13:00,VLan40,Sales,Router,SSH,642,2.01,7,NO,TEMA
263,264,2026-01-25 22:56:00,VLan30,IT,Router,SSH,962,4.58,10,YES,TEMA
264,265,2026-04-14 13:23:00,VLan40,Sales,Mobile,HTTP,406,1.95,3,NO,KUMASI
265,266,2026-03-05 12:48:00,VLan10,HR,Router,FTP,671,2.45,7,NO,TAKORADI
266,267,2026-02-08 04:46:00,VLan40,Sales,Router,FTP,234,0.85,1,NO,TAKORADI
267,268,2026-01-29 14:41:00,VLan20,Finance,Desktop,SSH,689,1.57,0,NO,Tamale
268,269,2026-04-01 18:54:00,VLan30,IT,Laptop,FTP,1069,2.53,6,YES,KUMASI
269,270,2026-03-11 08:18:00,VLan40,Sales,Router,SSH,341,1.81,2,NO,Tamale
